category	id	path	bytes	title	creator	license	source	status
model	7348ef4bc7da4540a28d307409106467	models/merchant/tanker-james-neal/tanker.glb	4317200	Tanker	James Neal	CC BY 4.0	https://sketchfab.com/3d-models/tanker-7348ef4bc7da4540a28d307409106467	candidate-optimize
model	5c7c39b8a39645f8a7ecd5ec6f795a7b	models/merchant/bulk-carrier-medialog/bulk-carrier.glb	56611312	Bulk Carrier	medialog	CC BY 4.0	https://sketchfab.com/3d-models/bulk-carrier-5c7c39b8a39645f8a7ecd5ec6f795a7b	source-only-heavy
model	b7c97df584824ca682d26daabf401f87	models/merchant/cargo-ship-hungry-drifter/cargo-ship.glb	13669928	Cargo ship	hungry_drifter	CC BY 4.0	https://sketchfab.com/3d-models/cargo-ship-b7c97df584824ca682d26daabf401f87	candidate-optimize
model	fe110d01a17d4689bda8304092e490d5	models/offshore/supplyship-1to3fall5/supplyship.glb	1813220	Supplyship	1to3fall5	CC BY 4.0	https://sketchfab.com/3d-models/supplyship-fe110d01a17d4689bda8304092e490d5	candidate-runtime
model	2a9fadae585f4bbfa030772e54e64ace	models/offshore/oil-rig-ansyslearn/oil-rig.glb	2110824	Oil Rig	AnsysLearn	CC BY 4.0	https://sketchfab.com/3d-models/oil-rig-2a9fadae585f4bbfa030772e54e64ace	candidate-reauthor
model	3dadb83f5ae9465589c47b188e7bce28	models/offshore/oil-rig-platform-ansyslearn/oil-rig-platform.glb	7412552	Oil Rig Platform	AnsysLearn	CC BY 4.0	https://sketchfab.com/3d-models/oil-rig-platform-3dadb83f5ae9465589c47b188e7bce28	candidate-lod
model	6b0c42c58598434986d59073ff360429	models/offshore/troll-a-ragnar/troll-a.glb	26206480	Oil Platform Troll A	Arkikon	CC BY 4.0	https://sketchfab.com/3d-models/oil-platform-troll-a-6b0c42c58598434986d59073ff360429	proxy-wrong-period
model	315be00711a24dce9f0fa6657df7521e	models/submarines/ohio-yakudami/ohio.glb	2013472	Ohio-class submarine SSBN	Yakudami	CC BY 4.0	https://sketchfab.com/3d-models/ohio-class-submarine-ssbn-315be00711a24dce9f0fa6657df7521e	candidate-lod-provenance-review
model	abd6a2cd5fe14f6baa16e64c2d20f317	models/submarines/type-209-artechstudio/type-209.glb	6427180	Jang Bogo class Type 209 submarine	Artech	CC BY 4.0	https://sketchfab.com/3d-models/koreanavy-jang-bogo-classtype209-submarine-abd6a2cd5fe14f6baa16e64c2d20f317	candidate-period-proxy
model	00d9af1156df4440acd5d98912f9a6e2	models/wildlife/herring-amyscottmurray/herring.glb	1747996	Herring Clupea harengus	Amy Scott-Murray	CC BY 4.0	https://sketchfab.com/3d-models/herring-00d9af1156df4440acd5d98912f9a6e2	candidate-rig
model	da4d4e2fdfbf4cedaa4b892e1801d3cc	models/wrecks/boem-shipwreck-15563/shipwreck-15563.glb	79431416	Shipwreck 15563	BOEM Archaeology	CC BY 4.0	https://sketchfab.com/3d-models/shipwreck-15563-da4d4e2fdfbf4cedaa4b892e1801d3cc	source-only-heavy-wrong-region
pack	kenney-watercraft	packs/kenney-watercraft/kenney-watercraft-kit.zip	1884801	Watercraft Kit 2.0	Kenney	CC0 1.0	https://opengameart.org/content/watercraft-kit	candidate-props-lod
pack	quaternius-animated-fish	packs/quaternius-animated-fish/quaternius-animated-fish.zip	1024233	Animated Fish Pack	Quaternius	CC0 1.0	https://opengameart.org/content/animated-fish	candidate-rig-reference
environment	kloofendal-overcast-puresky	environment/hdri/kloofendal-overcast-puresky-1k.hdr	1174053	Kloofendal Overcast Pure Sky	Poly Haven	CC0 1.0	https://polyhaven.com/a/kloofendal_overcast_puresky	candidate-lighting
environment	kloofendal-misty-morning-puresky	environment/hdri/kloofendal-misty-morning-puresky-1k.hdr	702293	Kloofendal Misty Morning Pure Sky	Poly Haven	CC0 1.0	https://polyhaven.com/a/kloofendal_misty_morning_puresky	candidate-lighting
environment	wasteland-clouds-puresky	environment/hdri/wasteland-clouds-puresky-1k.hdr	1219444	Wasteland Clouds Pure Sky	Poly Haven	CC0 1.0	https://polyhaven.com/a/wasteland_clouds_puresky	candidate-lighting
environment	aristea-wreck-puresky	environment/hdri/aristea-wreck-puresky-1k.hdr	1453254	Aristea Wreck Pure Sky	Poly Haven	CC0 1.0	https://polyhaven.com/a/aristea_wreck_puresky	candidate-lighting
environment	water-caustics	environment/vfx/water-caustics.zip	2516522	Water Caustics Effect Small	leeor_net	CC0 1.0	https://opengameart.org/content/water-caustics-effect-small	candidate-shallow-water
audio	oga-bubbles-loop-1	audio/open-game-art/bubbles-loop-1.wav	428076	Bubble loop 1	BMacZero	CC0 1.0	https://opengameart.org/content/bubble-sound-effects	candidate-master
audio	oga-bubbles-loop-2	audio/open-game-art/bubbles-loop-2.wav	596012	Bubble loop 2	BMacZero	CC0 1.0	https://opengameart.org/content/bubble-sound-effects	candidate-master
audio	oga-bubbles-single-1	audio/open-game-art/bubbles-single-1.wav	28386	Bubble single 1	BMacZero	CC0 1.0	https://opengameart.org/content/bubble-sound-effects	candidate-master
audio	oga-bubbles-single-2	audio/open-game-art/bubbles-single-2.wav	38468	Bubble single 2	BMacZero	CC0 1.0	https://opengameart.org/content/bubble-sound-effects	candidate-master
audio	oga-bubbles-single-3	audio/open-game-art/bubbles-single-3.wav	35884	Bubble single 3	BMacZero	CC0 1.0	https://opengameart.org/content/bubble-sound-effects	candidate-master
audio	oga-engine-rumble	audio/open-game-art/underwater-engine-rumble.ogg	511853	Underwater or space engine rumble	gmason	CC0 1.0	https://opengameart.org/content/underwater-or-space-engine-rumble	candidate-source-layer
audio	oga-metal-wood-100	audio/open-game-art/metal-wood-100-cc0.zip	1990361	100 CC0 metal and wood SFX	rubberduck	CC0 1.0	https://opengameart.org/content/100-cc0-metal-and-wood-sfx	candidate-source-pack
audio	oga-water-splash-40	audio/open-game-art/water-splash-slime-40-cc0.zip	2259262	40 CC0 water splash slime SFX	rubberduck	CC0 1.0	https://opengameart.org/content/40-cc0-water-splash-slime-sfx	candidate-source-pack
audio	oga-bang-25	audio/open-game-art/bang-firework-25-cc0.zip	1390498	25 CC0 bang firework SFX	rubberduck	CC0 1.0	https://opengameart.org/content/25-cc0-bang-firework-sfx	candidate-source-pack
audio	oga-ocean-wave-01	audio/open-game-art/ocean-wave-01.flac	626248	Beach ocean wave 01	jasinski via qubodup	CC0 1.0	https://opengameart.org/content/beach-ocean-waves	candidate-master
audio	oga-ocean-wave-02	audio/open-game-art/ocean-wave-02.flac	404529	Beach ocean wave 02	jasinski via qubodup	CC0 1.0	https://opengameart.org/content/beach-ocean-waves	candidate-master
audio	oga-ocean-wave-03	audio/open-game-art/ocean-wave-03.flac	367584	Beach ocean wave 03	jasinski via qubodup	CC0 1.0	https://opengameart.org/content/beach-ocean-waves	candidate-master
audio	oga-ocean-wave-04	audio/open-game-art/ocean-wave-04.flac	591767	Beach ocean wave 04	jasinski via qubodup	CC0 1.0	https://opengameart.org/content/beach-ocean-waves	candidate-master
audio	freesound-35530	audio/freesound-previews/35530-torpedo-launch-underwater-cc-by-3.mp3	319113	Torpedo launch underwater	jobro	CC BY 3.0	https://freesound.org/people/jobro/sounds/35530/	evaluation-preview
audio	freesound-124544	audio/freesound-previews/124544-underwater-explosion-cc0.mp3	127838	Underwater explosion	cubix	CC0 1.0	https://freesound.org/people/cubix/sounds/124544/	evaluation-preview
audio	freesound-324924	audio/freesound-previews/324924-depth-charges-cc0.mp3	270222	Depth Charges Kaboom SFX	Renovatio871	CC0 1.0	https://freesound.org/people/Renovatio871/sounds/324924/	evaluation-preview
audio	freesound-31574	audio/freesound-previews/31574-ship-creak-cc0.mp3	4768618	Ship creak	Walter_Odington	CC0 1.0	https://freesound.org/people/Walter_Odington/sounds/31574/	evaluation-preview
audio	freesound-504641	audio/freesound-previews/504641-underwater-ambience-cc0.mp3	1023072	Underwater Ambience	Fission9	CC0 1.0	https://freesound.org/people/Fission9/sounds/504641/	evaluation-preview
audio	freesound-438723	audio/freesound-previews/438723-vintage-submarine-interior-cc0.mp3	1688880	G45-21 Submarine Interior General	craigsmith	CC0 1.0	https://freesound.org/people/craigsmith/sounds/438723/	evaluation-preview
audio	freesound-585259	audio/freesound-previews/585259-air-bubbles-underwater-cc0.mp3	3203040	Air bubbles underwater	breiti	CC0 1.0	https://freesound.org/people/breiti/sounds/585259/	evaluation-preview
audio	freesound-331435	audio/freesound-previews/331435-storm-at-sea-cc0.mp3	4524891	Storm at Sea	Codeine	CC0 1.0	https://freesound.org/people/Codeine/sounds/331435/	evaluation-preview
audio	freesound-436954	audio/freesound-previews/436954-roaring-sea-cc-by-4.mp3	7073956	The roaring of the contemporary sea	allthingssound	CC BY 4.0	https://freesound.org/people/allthingssound/sounds/436954/	evaluation-preview
audio	freesound-436955	audio/freesound-previews/436955-gulls-cc-by-4.mp3	8921446	The Gulls paradise by the dashboard light	allthingssound	CC BY 4.0	https://freesound.org/people/allthingssound/sounds/436955/	evaluation-preview
audio	freesound-436956	audio/freesound-previews/436956-distant-gulls-cc-by-4.mp3	16870127	Distant Gulls	allthingssound	CC BY 4.0	https://freesound.org/people/allthingssound/sounds/436956/	evaluation-preview
audio	freesound-635912	audio/freesound-previews/635912-skylarks-windy-dunes-cc0.mp3	4646544	Skylarks Over Windy Dunes	Kinoton	CC0 1.0	https://freesound.org/people/Kinoton/sounds/635912/	evaluation-preview
audio	freesound-635917	audio/freesound-previews/635917-slow-waves-stony-beach-cc0.mp3	5790960	Slow Waves Stony Beach	Kinoton	CC0 1.0	https://freesound.org/people/Kinoton/sounds/635917/	evaluation-preview
audio	freesound-635918	audio/freesound-previews/635918-water-through-rocks-cc0.mp3	2749824	Water Through Rocks	Kinoton	CC0 1.0	https://freesound.org/people/Kinoton/sounds/635918/	evaluation-preview
audio	freesound-656679	audio/freesound-previews/656679-town-at-north-sea-cc0.mp3	1986528	Ambience Town at North Sea	Kinoton	CC0 1.0	https://freesound.org/people/Kinoton/sounds/656679/	evaluation-preview
audio	freesound-656680	audio/freesound-previews/656680-heavy-wind-grass-bushes-cc0.mp3	4518864	Heavy Wind Through Grass and Bushes	Kinoton	CC0 1.0	https://freesound.org/people/Kinoton/sounds/656680/	evaluation-preview
audio	freesound-760212	audio/freesound-previews/760212-thunder-clap-rumble-cc0.mp3	292752	Thunder Clap And Rumble 5	Kinoton	CC0 1.0	https://freesound.org/people/Kinoton/sounds/760212/	evaluation-preview
