asset_id	category	suggested_role	source_archive	source_item	source_filename	local_path	source_bytes	source_md5	license
usc-g45-10	explosions	interior battle and damage source	USC Optical Sound Effects Library	GOLD_TAPE_45_Submarine_Effects	G45-10-Submarine Battle.wav	masters/usc-sound-effect-archive/explosions/g45-10-submarine-battle.wav	15517728	92d1855ece6beeb8a1b9006bad7fadd4	CC0-1.0
usc-g45-11	explosions	depth-charge source	USC Optical Sound Effects Library	GOLD_TAPE_45_Submarine_Effects	G45-11-Submarine Depth Charge.wav	masters/usc-sound-effect-archive/explosions/g45-11-submarine-depth-charge.wav	11678674	7cf5723633da39c7f083f6a6ea958850	CC0-1.0
usc-g45-12	explosions	missile or weapons explosion source	USC Optical Sound Effects Library	GOLD_TAPE_45_Submarine_Effects	G45-12-Submarine Missile Explosions.wav	masters/usc-sound-effect-archive/explosions/g45-12-submarine-missile-explosions.wav	9082698	8208dbce47091bf2546f115119a3d7aa	CC0-1.0
usc-g45-13	torpedo-launch	interior torpedo-fire source	USC Optical Sound Effects Library	GOLD_TAPE_45_Submarine_Effects	G45-13-Submarine Torpedo Fire.wav	masters/usc-sound-effect-archive/torpedo/g45-13-submarine-torpedo-fire.wav	4359188	76e833cbf42174a694bc98ca7b7d4de9	CC0-1.0
usc-g45-14	explosions	torpedo detonation source	USC Optical Sound Effects Library	GOLD_TAPE_45_Submarine_Effects	G45-14-Torpedo Explosion.wav	masters/usc-sound-effect-archive/explosions/g45-14-torpedo-explosion.wav	5542052	257983455ce360d04f4063f4e74639e7	CC0-1.0
usc-g45-16	machinery	compressor motor source	USC Optical Sound Effects Library	GOLD_TAPE_45_Submarine_Effects	G45-16-Submarine Compressor Motor.wav	masters/usc-sound-effect-archive/air/g45-16-submarine-compressor-motor.wav	7101784	ebd3ccda8dab3cdd99c938745354bb6b	CC0-1.0
usc-g45-20	propulsion	submerged motor source	USC Optical Sound Effects Library	GOLD_TAPE_45_Submarine_Effects	G45-20-Submarine Motor Underwater.wav	masters/usc-sound-effect-archive/propulsion/g45-20-submarine-motor-underwater.wav	8976696	223a3ecd571990bbcdc74f2dd82f297d	CC0-1.0
usc-g45-21	interior	general compartment room tone	USC Optical Sound Effects Library	GOLD_TAPE_45_Submarine_Effects	G45-21-Submarine Interior General.wav	masters/usc-sound-effect-archive/interior/g45-21-submarine-interior-general.wav	14245660	755166d69dba9d8f25f048eeb9a5f0a2	CC0-1.0
usc-g45-24	interior	engine-room machinery bed	USC Optical Sound Effects Library	GOLD_TAPE_45_Submarine_Effects	G45-24-Submarine Interior Engine Room.wav	masters/usc-sound-effect-archive/interior/g45-24-submarine-interior-engine-room.wav	22072066	44ebb4d2c602dc5f3a801e41ac89a9fc	CC0-1.0
usc-g45-26	machinery	motor start-up transient	USC Optical Sound Effects Library	GOLD_TAPE_45_Submarine_Effects	G45-26-Submarine Motor Start Up.wav	masters/usc-sound-effect-archive/propulsion/g45-26-submarine-motor-start-up.wav	13920776	f81f62894a8412eac7453b95bf6a6e8a	CC0-1.0
